Date,Wheat,month,year
4/1/1966,58.79,April,1966
5/1/1966,58.79,May,1966
6/1/1966,62.1,June,1966
7/1/1966,65.4,July,1966
8/1/1966,67.61,August,1966
9/1/1966,67.24,September,1966
10/1/1966,66.14,October,1966
11/1/1966,65.77,November,1966
12/1/1966,67.61,December,1966
1/1/1967,67.24,January,1967
2/1/1967,67.98,February,1967
3/1/1967,69.81,March,1967
4/1/1967,68.34,April,1967
5/1/1967,68.34,May,1967
6/1/1967,66.51,June,1967
7/1/1967,64.67,July,1967
8/1/1967,63.93,August,1967
9/1/1967,63.2,September,1967
10/1/1967,63.57,October,1967
11/1/1967,62.83,November,1967
12/1/1967,62.1,December,1967
1/1/1968,62.1,January,1968
2/1/1968,62.83,February,1968
3/1/1968,63.57,March,1968
4/1/1968,61.73,April,1968
5/1/1968,60.26,May,1968
6/1/1968,61.73,June,1968
7/1/1968,63.57,July,1968
8/1/1968,63.93,August,1968
9/1/1968,63.57,September,1968
10/1/1968,63.57,October,1968
11/1/1968,63.2,November,1968
12/1/1968,63.2,December,1968
1/1/1969,63.2,January,1969
2/1/1969,62.83,February,1969
3/1/1969,62.1,March,1969
4/1/1969,62.1,April,1969
5/1/1969,62.1,May,1969
6/1/1969,61.73,June,1969
7/1/1969,60.26,July,1969
8/1/1969,56.22,August,1969
9/1/1969,53.65,September,1969
10/1/1969,52.18,October,1969
11/1/1969,52.18,November,1969
12/1/1969,52.18,December,1969
1/1/1970,52.18,January,1970
2/1/1970,52.18,February,1970
3/1/1970,52.18,March,1970
4/1/1970,52.18,April,1970
5/1/1970,52.18,May,1970
6/1/1970,52.18,June,1970
7/1/1970,52.54,July,1970
8/1/1970,54.01,August,1970
9/1/1970,56.22,September,1970
10/1/1970,58.79,October,1970
11/1/1970,60.99,November,1970
12/1/1970,63.2,December,1970
1/1/1971,63.57,January,1971
2/1/1971,63.57,February,1971
3/1/1971,62.83,March,1971
4/1/1971,62.46,April,1971
5/1/1971,63.2,May,1971
6/1/1971,61.36,June,1971
7/1/1971,61.36,July,1971
8/1/1971,60.99,August,1971
9/1/1971,60.99,September,1971
10/1/1971,60.26,October,1971
11/1/1971,60.26,November,1971
12/1/1971,59.89,December,1971
1/1/1972,59.89,January,1972
2/1/1972,59.89,February,1972
3/1/1972,59.89,March,1972
4/1/1972,60.26,April,1972
5/1/1972,60.26,May,1972
6/1/1972,59.89,June,1972
7/1/1972,60.26,July,1972
8/1/1972,62.1,August,1972
9/1/1972,76.06,September,1972
10/1/1972,87.45,October,1972
11/1/1972,88.92,November,1972
12/1/1972,102.88,December,1972
1/1/1973,108.39,January,1973
2/1/1973,98.84,February,1973
3/1/1973,98.47,March,1973
4/1/1973,101.05,April,1973
5/1/1973,102.15,May,1973
6/1/1973,108.39,June,1973
7/1/1973,114.64,July,1973
8/1/1973,192.54,August,1973
9/1/1973,189.6,September,1973
10/1/1973,182.25,October,1973
11/1/1973,181.88,November,1973
12/1/1973,199.52,December,1973
1/1/1974,213.48,January,1974
2/1/1974,220.46,February,1974
3/1/1974,190.7,March,1974
4/1/1974,162.04,April,1974
5/1/1974,141.46,May,1974
6/1/1974,155.79,June,1974
7/1/1974,169.02,July,1974
8/1/1974,167.55,August,1974
9/1/1974,170.49,September,1974
10/1/1974,192.17,October,1974
11/1/1974,187.39,November,1974
12/1/1974,185.92,December,1974
1/1/1975,164.24,January,1975
2/1/1975,153.22,February,1975
3/1/1975,147.34,March,1975
4/1/1975,140.36,April,1975
5/1/1975,131.54,May,1975
6/1/1975,127.13,June,1975
7/1/1975,145.14,July,1975
8/1/1975,162.77,August,1975
9/1/1975,165.71,September,1975
10/1/1975,161.67,October,1975
11/1/1975,146.97,November,1975
12/1/1975,142.57,December,1975
1/1/1976,143.67,January,1976
2/1/1976,152.85,February,1976
3/1/1976,152.49,March,1976
4/1/1976,145.5,April,1976
5/1/1976,141.83,May,1976
6/1/1976,146.24,June,1976
7/1/1976,142.2,July,1976
8/1/1976,126.4,August,1976
9/1/1976,119.78,September,1976
10/1/1976,111.33,October,1976
11/1/1976,106.56,November,1976
12/1/1976,106.19,December,1976
1/1/1977,108.76,January,1977
2/1/1977,110.6,February,1977
3/1/1977,106.92,March,1977
4/1/1977,102.15,April,1977
5/1/1977,94.8,May,1977
6/1/1977,92.96,June,1977
7/1/1977,96.64,July,1977
8/1/1977,95.53,August,1977
9/1/1977,99.94,September,1977
10/1/1977,103.98,October,1977
11/1/1977,111.7,November,1977
12/1/1977,114.64,December,1977
1/1/1978,114.27,January,1978
2/1/1978,115.74,February,1978
3/1/1978,124.19,March,1978
4/1/1978,130.81,April,1978
5/1/1978,124.56,May,1978
6/1/1978,126.4,June,1978
7/1/1978,127.13,July,1978
8/1/1978,127.5,August,1978
9/1/1978,130.81,September,1978
10/1/1978,137.42,October,1978
11/1/1978,137.79,November,1978
12/1/1978,136.32,December,1978
1/1/1979,137.79,January,1979
2/1/1979,140.36,February,1979
3/1/1979,139.99,March,1979
4/1/1979,139.99,April,1979
5/1/1979,143.3,May,1979
6/1/1979,167.92,June,1979
7/1/1979,174.53,July,1979
8/1/1979,169.02,August,1979
9/1/1979,174.16,September,1979
10/1/1979,178.21,October,1979
11/1/1979,178.21,November,1979
12/1/1979,180.04,December,1979
1/1/1980,175.63,January,1980
2/1/1980,172.7,February,1980
3/1/1980,163.51,March,1980
4/1/1980,156.53,April,1980
5/1/1980,161.3,May,1980
6/1/1980,157.63,June,1980
7/1/1980,168.65,July,1980
8/1/1980,171.23,August,1980
9/1/1980,179.68,September,1980
10/1/1980,188.13,October,1980
11/1/1980,195.11,November,1980
12/1/1980,182.62,December,1980
1/1/1981,189.6,January,1981
2/1/1981,181.51,February,1981
3/1/1981,175.27,March,1981
4/1/1981,180.41,April,1981
5/1/1981,171.59,May,1981
6/1/1981,168.65,June,1981
7/1/1981,167.92,July,1981
8/1/1981,170.12,August,1981
9/1/1981,171.23,September,1981
10/1/1981,168.65,October,1981
11/1/1981,178.57,November,1981
12/1/1981,176,December,1981
1/1/1982,173.06,January,1982
2/1/1982,170.86,February,1982
3/1/1982,168.65,March,1982
4/1/1982,169.76,April,1982
5/1/1982,167.55,May,1982
6/1/1982,155.79,June,1982
7/1/1982,151.75,July,1982
8/1/1982,152.49,August,1982
9/1/1982,152.85,September,1982
10/1/1982,146.61,October,1982
11/1/1982,155.06,November,1982
12/1/1982,159.83,December,1982
1/1/1983,164.98,January,1983
2/1/1983,164.24,February,1983
3/1/1983,166.08,March,1983
4/1/1983,167.18,April,1983
5/1/1983,160.2,May,1983
6/1/1983,151.75,June,1983
7/1/1983,147.34,July,1983
8/1/1983,152.49,August,1983
9/1/1983,156.53,September,1983
10/1/1983,152.85,October,1983
11/1/1983,151.75,November,1983
12/1/1983,153.59,December,1983
1/1/1984,152.85,January,1984
2/1/1984,150.65,February,1984
3/1/1984,153.96,March,1984
4/1/1984,157.26,April,1984
5/1/1984,153.96,May,1984
6/1/1984,149.91,June,1984
7/1/1984,146.97,July,1984
8/1/1984,152.49,August,1984
9/1/1984,155.06,September,1984
10/1/1984,152.85,October,1984
11/1/1984,152.49,November,1984
12/1/1984,149.55,December,1984
1/1/1985,149.18,January,1985
2/1/1985,147.34,February,1985
3/1/1985,145.14,March,1985
4/1/1985,143.67,April,1985
5/1/1985,136.32,May,1985
6/1/1985,134.11,June,1985
7/1/1985,128.6,July,1985
8/1/1985,123.09,August,1985
9/1/1985,125.3,September,1985
10/1/1985,127.5,October,1985
11/1/1985,132.64,November,1985
12/1/1985,137.05,December,1985
1/1/1986,132.28,January,1986
2/1/1986,129.71,February,1986
3/1/1986,134.48,March,1986
4/1/1986,132.64,April,1986
5/1/1986,119.42,May,1986
6/1/1986,105.82,June,1986
7/1/1986,101.78,July,1986
8/1/1986,102.15,August,1986
9/1/1986,103.62,September,1986
10/1/1986,104.72,October,1986
11/1/1986,105.09,November,1986
12/1/1986,107.29,December,1986
1/1/1987,109.13,January,1987
2/1/1987,112.07,February,1987
3/1/1987,115.38,March,1987
4/1/1987,113.17,April,1987
5/1/1987,119.05,May,1987
6/1/1987,108.76,June,1987
7/1/1987,104.72,July,1987
8/1/1987,106.92,August,1987
9/1/1987,112.07,September,1987
10/1/1987,113.91,October,1987
11/1/1987,115.01,November,1987
12/1/1987,124.56,December,1987
1/1/1988,128.6,January,1988
2/1/1988,131.54,February,1988
3/1/1988,124.93,March,1988
4/1/1988,126.77,April,1988
5/1/1988,128.97,May,1988
6/1/1988,149.91,June,1988
7/1/1988,149.55,July,1988
8/1/1988,149.91,August,1988
9/1/1988,159.47,September,1988
10/1/1988,162.04,October,1988
11/1/1988,163.88,November,1988
12/1/1988,166.82,December,1988
1/1/1989,173.8,January,1989
2/1/1989,171.96,February,1989
3/1/1989,178.21,March,1989
4/1/1989,174.53,April,1989
5/1/1989,176.37,May,1989
6/1/1989,168.65,June,1989
7/1/1989,166.82,July,1989
8/1/1989,164.24,August,1989
9/1/1989,163.51,September,1989
10/1/1989,164.61,October,1989
11/1/1989,163.51,November,1989
12/1/1989,164.61,December,1989
1/1/1990,167.92,January,1990
2/1/1990,160.94,February,1990
3/1/1990,156.53,March,1990
4/1/1990,159.47,April,1990
5/1/1990,149.18,May,1990
6/1/1990,135.58,June,1990
7/1/1990,124.93,July,1990
8/1/1990,116.84,August,1990
9/1/1990,114.27,September,1990
10/1/1990,114.64,October,1990
11/1/1990,112.8,November,1990
12/1/1990,113.17,December,1990
1/1/1991,111.33,January,1991
2/1/1991,113.91,February,1991
3/1/1991,119.42,March,1991
4/1/1991,120.89,April,1991
5/1/1991,121.99,May,1991
6/1/1991,120.15,June,1991
7/1/1991,118.31,July,1991
8/1/1991,125.3,August,1991
9/1/1991,135.22,September,1991
10/1/1991,146.97,October,1991
11/1/1991,149.55,November,1991
12/1/1991,160.94,December,1991
1/1/1992,170.12,January,1992
2/1/1992,177.1,February,1992
3/1/1992,169.39,March,1992
4/1/1992,159.83,April,1992
5/1/1992,149.55,May,1992
6/1/1992,148.81,June,1992
7/1/1992,136.32,July,1992
8/1/1992,128.24,August,1992
9/1/1992,138.89,September,1992
10/1/1992,140.73,October,1992
11/1/1992,147.71,November,1992
12/1/1992,147.71,December,1992
1/1/1993,155.79,January,1993
2/1/1993,148.81,February,1993
3/1/1993,148.08,March,1993
4/1/1993,141.83,April,1993
5/1/1993,136.69,May,1993
6/1/1993,121.99,June,1993
7/1/1993,127.5,July,1993
8/1/1993,129.71,August,1993
9/1/1993,131.17,September,1993
10/1/1993,135.95,October,1993
11/1/1993,146.61,November,1993
12/1/1993,158.73,December,1993
1/1/1994,153.22,January,1994
2/1/1994,146.97,February,1994
3/1/1994,141.1,March,1994
4/1/1994,140.36,April,1994
5/1/1994,139.99,May,1994
6/1/1994,139.26,June,1994
7/1/1994,137.42,July,1994
8/1/1994,145.87,August,1994
9/1/1994,158.73,September,1994
10/1/1994,167.18,October,1994
11/1/1994,162.04,November,1994
12/1/1994,164.61,December,1994
1/1/1995,156.16,January,1995
2/1/1995,154.32,February,1995
3/1/1995,150.28,March,1995
4/1/1995,148.81,April,1995
5/1/1995,158.73,May,1995
6/1/1995,170.12,June,1995
7/1/1995,190.7,July,1995
8/1/1995,184.45,August,1995
9/1/1995,193.64,September,1995
10/1/1995,203.73,October,1995
11/1/1995,203.93,November,1995
12/1/1995,208.92,December,1995
1/1/1996,206.88,January,1996
2/1/1996,218.89,February,1996
3/1/1996,215.32,March,1996
4/1/1996,257.61,April,1996
5/1/1996,262.11,May,1996
6/1/1996,227.34,June,1996
7/1/1996,202.6,July,1996
8/1/1996,191.63,August,1996
9/1/1996,178.71,September,1996
10/1/1996,178,October,1996
11/1/1996,176.41,November,1996
12/1/1996,175.7,December,1996
1/1/1997,175.73,January,1997
2/1/1997,172.35,February,1997
3/1/1997,176.61,March,1997
4/1/1997,183.49,April,1997
5/1/1997,172.59,May,1997
6/1/1997,148.39,June,1997
7/1/1997,136.21,July,1997
8/1/1997,150.61,August,1997
9/1/1997,151.74,September,1997
10/1/1997,151.59,October,1997
11/1/1997,149.88,November,1997
12/1/1997,144.62,December,1997
1/1/1998,137.1,January,1998
2/1/1998,140.05,February,1998
3/1/1998,138.92,March,1998
4/1/1998,130.15,April,1998
5/1/1998,128.92,May,1998
6/1/1998,120.64,June,1998
7/1/1998,118.9,July,1998
8/1/1998,107.95,August,1998
9/1/1998,107.93,September,1998
10/1/1998,126.54,October,1998
11/1/1998,130.21,November,1998
12/1/1998,126.21,December,1998
1/1/1999,125.29,January,1999
2/1/1999,117.03,February,1999
3/1/1999,117.34,March,1999
4/1/1999,113.87,April,1999
5/1/1999,113,May,1999
6/1/1999,111.41,June,1999
7/1/1999,103.02,July,1999
8/1/1999,111.3,August,1999
9/1/1999,113.19,September,1999
10/1/1999,108.1,October,1999
11/1/1999,108.8,November,1999
12/1/1999,102.16,December,1999
1/1/2000,105.83,January,2000
2/1/2000,107.93,February,2000
3/1/2000,105.7,March,2000
4/1/2000,105.11,April,2000
5/1/2000,112.14,May,2000
6/1/2000,113.51,June,2000
7/1/2000,108.98,July,2000
8/1/2000,108.36,August,2000
9/1/2000,117.49,September,2000
10/1/2000,128.18,October,2000
11/1/2000,127.73,November,2000
12/1/2000,128.09,December,2000
1/1/2001,132.84,January,2001
2/1/2001,128.11,February,2001
3/1/2001,130.2,March,2001
4/1/2001,129.67,April,2001
5/1/2001,134.86,May,2001
6/1/2001,127.23,June,2001
7/1/2001,123.79,July,2001
8/1/2001,121.92,August,2001
9/1/2001,122.03,September,2001
10/1/2001,123.34,October,2001
11/1/2001,125.27,November,2001
12/1/2001,122.44,December,2001
1/1/2002,125.31,January,2002
2/1/2002,123.28,February,2002
3/1/2002,122.54,March,2002
4/1/2002,123.72,April,2002
5/1/2002,121.46,May,2002
6/1/2002,132.03,June,2002
7/1/2002,149.31,July,2002
8/1/2002,161.26,August,2002
9/1/2002,187.84,September,2002
10/1/2002,190.32,October,2002
11/1/2002,177.38,November,2002
12/1/2002,162.48,December,2002
1/1/2003,149.61,January,2003
2/1/2003,150.84,February,2003
3/1/2003,141.81,March,2003
4/1/2003,138.62,April,2003
5/1/2003,141.96,May,2003
6/1/2003,131.35,June,2003
7/1/2003,131.62,July,2003
8/1/2003,148.72,August,2003
9/1/2003,145.62,September,2003
10/1/2003,147.46,October,2003
11/1/2003,160.55,November,2003
12/1/2003,165.57,December,2003
1/1/2004,166.33,January,2004
2/1/2004,161.39,February,2004
3/1/2004,166.28,March,2004
4/1/2004,166.58,April,2004
5/1/2004,163.73,May,2004
6/1/2004,154.74,June,2004
7/1/2004,150.6,July,2004
8/1/2004,141.29,August,2004
9/1/2004,151.03,September,2004
10/1/2004,150.15,October,2004
11/1/2004,156.57,November,2004
12/1/2004,153.87,December,2004
1/1/2005,153.59,January,2005
2/1/2005,151.17,February,2005
3/1/2005,150.99,March,2005
4/1/2005,140.88,April,2005
5/1/2005,143.33,May,2005
6/1/2005,141.93,June,2005
7/1/2005,143.87,July,2005
8/1/2005,149.36,August,2005
9/1/2005,159.71,September,2005
10/1/2005,167.83,October,2005
11/1/2005,161.12,November,2005
12/1/2005,164.44,December,2005
1/1/2006,167.16,January,2006
2/1/2006,179.84,February,2006
3/1/2006,174.44,March,2006
4/1/2006,180.35,April,2006
5/1/2006,193.17,May,2006
6/1/2006,195.16,June,2006
7/1/2006,202.43,July,2006
8/1/2006,189.91,August,2006
9/1/2006,195.98,September,2006
10/1/2006,212.09,October,2006
11/1/2006,209.68,November,2006
12/1/2006,204.31,December,2006
1/1/2007,196.07,January,2007
2/1/2007,199.98,February,2007
3/1/2007,199.1,March,2007
4/1/2007,198.31,April,2007
5/1/2007,195.72,May,2007
6/1/2007,223.04,June,2007
7/1/2007,238.41,July,2007
8/1/2007,259.73,August,2007
9/1/2007,326.54,September,2007
10/1/2007,335.15,October,2007
11/1/2007,321.81,November,2007
12/1/2007,368.62,December,2007
1/1/2008,370.66,January,2008
2/1/2008,425,February,2008
3/1/2008,439.72,March,2008
4/1/2008,362.23,April,2008
5/1/2008,328.76,May,2008
6/1/2008,348.55,June,2008
7/1/2008,328.18,July,2008
8/1/2008,329.34,August,2008
9/1/2008,295.55,September,2008
10/1/2008,237.38,October,2008
11/1/2008,226.85,November,2008
12/1/2008,220.14,December,2008
1/1/2009,239.11,January,2009
2/1/2009,224.69,February,2009
3/1/2009,230.98,March,2009
4/1/2009,233.47,April,2009
5/1/2009,261.48,May,2009
6/1/2009,256.64,June,2009
7/1/2009,224.85,July,2009
8/1/2009,210.37,August,2009
9/1/2009,191.09,September,2009
10/1/2009,198.85,October,2009
11/1/2009,211.04,November,2009
12/1/2009,206.25,December,2009
1/1/2010,201.19,January,2010
2/1/2010,194,February,2010
3/1/2010,191.08,March,2010
4/1/2010,192.87,April,2010
5/1/2010,181.61,May,2010
6/1/2010,157.67,June,2010
7/1/2010,195.82,July,2010
8/1/2010,246.25,August,2010
9/1/2010,271.67,September,2010
10/1/2010,270.23,October,2010
11/1/2010,274.08,November,2010
12/1/2010,306.52,December,2010
1/1/2011,326.56,January,2011
2/1/2011,348.12,February,2011
3/1/2011,316.75,March,2011
4/1/2011,336.12,April,2011
5/1/2011,355.28,May,2011
6/1/2011,326.43,June,2011
7/1/2011,303.88,July,2011
8/1/2011,327.07,August,2011
9/1/2011,315.92,September,2011
10/1/2011,289.01,October,2011
11/1/2011,281.01,November,2011
12/1/2011,269.03,December,2011
1/1/2012,274.89,January,2012
2/1/2012,277.77,February,2012
3/1/2012,283.88,March,2012
4/1/2012,266.32,April,2012
5/1/2012,264.36,May,2012
6/1/2012,276.19,June,2012
7/1/2012,345.69,July,2012
8/1/2012,349.4,August,2012
9/1/2012,353.42,September,2012
10/1/2012,358.2,October,2012
11/1/2012,360.82,November,2012
12/1/2012,347.96,December,2012
1/1/2013,335.47,January,2013
2/1/2013,318.94,February,2013
3/1/2013,309.75,March,2013
4/1/2013,308.28,April,2013
5/1/2013,319.67,May,2013
6/1/2013,313.42,June,2013
7/1/2013,304.61,July,2013
8/1/2013,305.34,August,2013
9/1/2013,307.51,September,2013
10/1/2013,325.69,October,2013
11/1/2013,306.75,November,2013
12/1/2013,291.56,December,2013
1/1/2014,275.58,January,2014
2/1/2014,292.11,February,2014
3/1/2014,323.71,March,2014
4/1/2014,324.81,April,2014
5/1/2014,334.73,May,2014
6/1/2014,306.44,June,2014
7/1/2014,280.35,July,2014
8/1/2014,263.45,August,2014
9/1/2014,243.61,September,2014
10/1/2014,245.45,October,2014
11/1/2014,258.68,November,2014
12/1/2014,269.7,December,2014
1/1/2015,248.39,January,2015
2/1/2015,237,February,2015
3/1/2015,230.75,March,2015
4/1/2015,223.4,April,2015
5/1/2015,215.32,May,2015
6/1/2015,209.81,June,2015
7/1/2015,197.31,July,2015
8/1/2015,179.68,August,2015
9/1/2015,172.7,September,2015
10/1/2015,172.71,October,2015
11/1/2015,177.1,November,2015
12/1/2015,189.23,December,2015
1/1/2016,193.27,January,2016
2/1/2016,187.03,February,2016
3/1/2016,191.07,March,2016
4/1/2016,187.39,April,2016
5/1/2016,171.96,May,2016
6/1/2016,173.06,June,2016
7/1/2016,151.75,July,2016
8/1/2016,149.18,August,2016
9/1/2016,150.65,September,2016
10/1/2016,151.75,October,2016
11/1/2016,150.65,November,2016
12/1/2016,141.83,December,2016
1/1/2017,153.22,January,2017
2/1/2017,155.06,February,2017
3/1/2017,154.32,March,2017
4/1/2017,166.08,April,2017
5/1/2017,180.41,May,2017
6/1/2017,189.6,June,2017
7/1/2017,202.46,July,2017
8/1/2017,171.23,August,2017
9/1/2017,178.57,September,2017
10/1/2017,175.63,October,2017
11/1/2017,179.68,November,2017
12/1/2017,184.09,December,2017
1/1/2018,192.17,January,2018
2/1/2018,192.17,February,2018
3/1/2018,192.17,March,2018
4/1/2018,213.85,April,2018
5/1/2018,213.85,May,2018
6/1/2018,219.36,June,2018
7/1/2018,218.26,July,2018
8/1/2018,236.63,August,2018
9/1/2018,212.38,September,2018
10/1/2018,213.48,October,2018
11/1/2018,203.56,November,2018
12/1/2018,211.28,December,2018
1/1/2019,209.81,January,2019
2/1/2019,218.99,February,2019
3/1/2019,205.76,March,2019
4/1/2019,199.52,April,2019
5/1/2019,199.52,May,2019
6/1/2019,206.13,June,2019
7/1/2019,196.21,July,2019
8/1/2019,181.15,August,2019
9/1/2019,189.6,September,2019
10/1/2019,199.52,October,2019
11/1/2019,203.19,November,2019
12/1/2019,210.91,December,2019
1/1/2020,224.5,January,2020
2/1/2020,215.32,February,2020
3/1/2020,209.07,March,2020
4/1/2020,218.99,April,2020
5/1/2020,205.76,May,2020
6/1/2020,198.42,June,2020
7/1/2020,222.13,July,2020
8/1/2020,223,August,2020
9/1/2020,247.68,September,2020
10/1/2020,272.36,October,2020
11/1/2020,273,November,2020
12/1/2020,268.55,December,2020
1/1/2021,289.3,January,2021
2/1/2021,289.4,February,2021
3/1/2021,273.13,March,2021
4/1/2021,280.95,April,2021
5/1/2021,297.25,May,2021
6/1/2021,285.55,June,2021
7/1/2021,294.27,July,2021
8/1/2021,324.52,August,2021
9/1/2021,337.55,September,2021
10/1/2021,354.67,October,2021
11/1/2021,379.45,November,2021
12/1/2021,376.81,December,2021
1/1/2022,374.24,January,2022
2/1/2022,390.5,February,2022
3/1/2022,486.3,March,2022
4/1/2022,495.28,April,2022
5/1/2022,522.29,May,2022
6/1/2022,459.59,June,2022
7/1/2022,382.5,July,2022
8/1/2022,382.86,August,2022
9/1/2022,419.14,September,2022
10/1/2022,437.95,October,2022
11/1/2022,422.68,November,2022
12/1/2022,386.33,December,2022
1/1/2023,380.36,January,2023
2/1/2023,394.75,February,2023
3/1/2023,369.86,March,2023
4/1/2023,378.18,April,2023
5/1/2023,367.74,May,2023
6/1/2023,345.5,June,2023
7/1/2023,345.5,July,2023
8/1/2023,315.82,August,2023
9/1/2023,314.68,September,2023
10/1/2023,298.1,October,2023
11/1/2023,283.55,November,2023
12/1/2023,291.12,December,2023
1/1/2024,283.91,January,2024
2/1/2024,278.5,February,2024
3/1/2024,274.83,March,2024
